set WARZYWA:= Ziemniaki Kapusta Buraki Marchew;
set PRODUCENCI:= P1 P2 P3 P4 P5 P6;
set MAGAZYNY:= M1 M2 M3;
set SKLEPY:= S1 S2 S3 S4 S5 S6 S7 S8 S9 S10;
set TYGODNIE:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 
               27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52;

param ProdukcjaRoczna:
	Ziemniaki Kapusta Buraki Marchew:=
P1     200      80      20     60
P2      90     100     240     80
P3      80      70     140    150
P4      90      50     160    150
P5     140     230      90    210
P6     150     130      10    190;


param PojemnoscMagazynow:=

M1   800
M2  1200
M3   750;

param PojemnoscMagazynowPrzysklepowych:=

   S1   9.55
   S2   9.05
   S3   8.10
   S4   8.42
   S5   9.19
   S6   9.33
   S7   9.13
   S8   8.83
   S9   8.82
   S10  8.60
;


param OdleglosciProducentowOdMagazynow:

     M1     M2     M3   :=
P1  13.65  30.67  38.78
P2  13.01  22.38  40.38
P3  35.01  17.54  36.59
P4  31.49  16.44  23.07
P5  34.76  32.29   6.83
P6  30.02  21.71  26.34
;



param OdlegloscMagazynowOdSklepow : 
      S1    S2    S3    S4    S5    S6    S7    S8    S9    S10 :=
 M1  12.39 12.05 15.32 24.17 12.72 16.93 18.74 14.63 16.01 19.14
 M2  12.14 15.17 19.45 20.04 18.03 22.07 19.92 17.25 22.03 22.17
 M3  16.99 15.85 12.46  5.79 14.96 11.74  8.89 13.03 12.84  9.07 ;
 
 
param CenaTransportuZaKilometr := 5;

param MinimalnyZapas : 
	Ziemniaki Kapusta Marchew Buraki :=
S1   0.1278  0.1218  0.1259  0.1217
S2   0.1291  0.1061  0.1196  0.1187
S3   0.1076  0.1030  0.1125  0.0985
S4   0.1150  0.0928  0.1168  0.1130
S5   0.1140  0.1155  0.1282  0.1195
S6   0.1180  0.1178  0.1157  0.1043
S7   0.1263  0.1059  0.1224  0.1045
S8   0.1134  0.1170  0.1149  0.1201
S9   0.1291  0.1138  0.1230  0.1201
S10  0.1182  0.1256  0.1155  0.1090;




param TygodniowaSprzedazSprzedRoku :=
    [*, *, Ziemniaki]:
        S1	S2	S3	S4	S5	S6	S7	S8	S9	S10 :=
    41	1.51	0.38	0.18	2.04	1.32	1.37	1.01	0.34	1.33	0.56
    42	1.77	1.61	0.07	2.05	0.09	0.21	0.65	0.34	0.53	0.79
    43	1.62	0.90	0.60	1.09	0.87	0.69	1.98	1.22	2.15	1.70
    44	1.26	0.58	1.51	1.01	1.59	0.89	1.10	0.06	1.63	0.09
    45	1.50	1.28	1.71	0.64	1.51	0.46	1.17	0.76	2.15	2.14
    46	0.47	1.25	0.73	2.13	2.03	1.29	1.59	1.50	0.78	2.02
    47	1.98	0.73	1.65	0.03	1.80	1.25	2.10	0.81	1.38	0.72
    48	1.72	1.33	2.17	0.01	0.32	0.11	0.29	2.05	2.09	1.06
    49	2.08	1.80	1.72	1.65	0.42	1.21	0.94	2.09	0.39	0.38
    50	1.45	0.35	0.25	1.11	1.75	1.34	1.66	0.59	0.63	0.95
    51	2.18	1.58	2.08	1.19	1.22	2.18	0.43	1.72	1.74	1.86
    52	1.65	0.35	1.46	2.03	1.24	0.80	2.09	1.24	0.91	1.35


    [*, *, Buraki]:
        S1	S2	S3	S4	S5	S6	S7	S8	S9	S10 :=
    1 	1.77	0.51	0.04	1.17	2.07	1.50	1.39	1.38	1.10	1.61
    2 	0.56	1.96	0.61	2.08	2.04	0.18	0.99	1.64	0.99	1.12
    3 	1.78	1.55	2.11	0.37	2.03	2.04	1.40	2.07	0.56	1.94
    4 	1.70	1.35	0.21	0.08	0.03	0.56	1.68	0.86	1.71	1.38
    5 	0.86	1.94	0.09	1.03	1.83	0.29	1.57	0.73	0.06	1.05
    6 	1.15	0.10	1.25	0.77	0.02	0.43	0.25	1.19	0.10	2.04
    7 	1.86	2.08	0.70	1.99	2.17	1.68	0.61	1.48	1.31	0.90
    8 	0.68	0.14	0.28	0.30	1.06	1.42	1.68	0.11	1.81	0.11
    9 	1.23	1.64	1.39	2.09	0.76	1.29	0.19	1.24	1.79	0.45
    10	0.58	1.54	0.57	0.58	2.06	2.20	0.35	1.98	1.22	0.09
    11	1.29	1.41	0.08	1.67	1.80	0.17	1.43	1.01	0.53	1.01
    12	0.36	0.74	1.44	1.05	1.23	1.20	1.81	0.76	1.79	0.19
    13	0.95	0.78	1.00	1.84	1.13	2.17	1.90	0.27	0.70	0.06
    14	1.62	0.05	1.95	0.43	0.92	0.15	0.69	0.86	0.12	1.69
    15	1.57	0.79	1.84	0.18	0.13	0.79	1.99	1.67	1.48	1.24
    16	1.77	0.91	0.08	1.77	0.43	0.86	0.79	0.28	0.78	0.40
    17	1.36	1.44	0.04	1.01	1.22	1.92	1.10	0.19	0.12	1.90
    18	1.74	1.89	0.58	1.43	0.22	1.82	0.74	2.10	1.04	0.08
    19	2.00	1.38	0.64	0.09	0.83	0.35	1.21	0.33	0.39	2.03
    20	1.41	0.54	1.93	1.38	2.08	1.07	1.95	1.50	0.11	0.54
    21	0.63	0.38	0.53	0.51	1.93	1.02	1.93	0.31	1.25	0.04
    22	2.05	0.02	0.86	1.77	2.20	0.05	1.81	1.13	0.09	1.71
    23	0.26	1.35	1.71	1.49	0.84	0.07	0.97	2.01	0.74	0.55
    24	0.31	1.13	1.18	0.17	0.90	1.45	2.13	0.96	0.96	1.04
    25	0.50	0.87	1.42	0.88	1.28	1.84	2.20	1.95	0.82	0.06
    26	1.35	1.05	0.53	0.10	0.71	1.76	2.12	0.24	1.93	0.12
    27	1.57	0.07	0.93	1.92	0.87	2.03	1.57	1.33	0.36	0.76
    28	0.91	1.30	2.19	0.63	1.11	2.05	0.77	1.39	1.69	1.39
    29	1.66	0.44	2.11	0.40	1.29	0.66	1.40	0.65	0.95	1.50
    30	0.60	1.60	0.77	0.30	1.35	0.37	0.95	0.88	0.18	1.57
    31	1.50	1.71	1.20	1.22	0.38	0.46	0.51	1.16	1.80	0.79
    32	1.94	1.62	1.58	0.74	0.27	2.12	1.88	0.91	1.90	1.98
    33	0.76	1.11	0.74	1.53	2.01	2.17	1.64	0.68	1.94	2.18
    34	0.77	2.09	1.13	2.12	2.19	1.79	1.51	0.35	0.02	1.31
    35	1.55	2.06	1.14	1.54	1.43	0.46	1.42	2.16	0.25	1.52
    36	1.36	0.83	1.75	0.03	1.96	1.80	1.06	0.25	1.00	1.29
    37	0.57	1.08	1.71	2.03	1.24	1.82	0.18	1.89	2.03	0.38
    38	1.82	1.87	1.93	1.14	1.34	0.47	1.56	0.90	0.06	0.30
    39	0.86	1.95	1.25	2.02	2.05	0.20	1.30	0.74	1.12	1.01
    40	1.06	0.23	1.83	1.08	1.42	1.05	0.41	1.19	0.36	1.88
    41	1.83	0.32	0.16	0.16	0.87	2.10	1.23	0.59	0.51	0.25
    42	0.32	1.79	0.31	1.90	1.81	0.31	1.23	0.03	1.90	1.23
    43	1.66	1.08	1.52	2.05	1.24	1.93	0.76	0.22	0.02	0.51
    44	1.85	0.69	0.50	1.10	2.08	1.12	0.76	0.18	1.27	0.51
    45	0.81	0.84	1.67	0.52	2.06	1.64	1.06	1.94	0.80	0.85
    46	0.29	1.72	0.89	1.11	1.04	1.45	0.83	2.02	0.96	0.80
    47	0.89	1.69	2.18	1.91	1.06	0.65	0.99	0.76	0.54	0.42
    48	2.10	1.10	0.25	0.85	0.86	1.13	2.16	2.15	1.25	1.36
    49	1.49	1.11	1.08	0.70	1.51	0.21	0.70	1.96	0.51	2.13
    50	2.17	1.27	0.10	0.21	0.45	0.73	0.26	1.76	0.81	0.52
    51	0.11	0.85	0.02	0.27	1.33	2.06	0.45	1.63	0.44	0.01
    52	1.97	1.86	0.16	0.40	0.52	2.04	0.85	1.78	0.96	0.84


    [*, *, Marchew]:
        S1	S2	S3	S4	S5	S6	S7	S8	S9	S10 :=
    1 	1.69	1.36	0.60	1.29	1.55	1.82	1.49	1.41	1.32	0.21
    2 	2.08	1.58	0.61	1.53	1.37	1.45	0.84	1.27	1.46	0.45
    3 	1.12	0.27	0.24	2.01	0.28	1.97	1.04	1.01	0.75	0.92
    4 	0.84	1.25	0.74	1.81	0.52	0.55	1.06	2.06	0.06	1.59
    5 	0.02	0.90	1.68	0.99	0.95	0.56	1.05	0.51	0.63	1.44
    6 	1.32	2.05	2.13	1.15	0.20	0.67	1.14	1.48	2.08	0.35
    7 	0.09	1.92	1.77	1.69	1.04	1.49	0.91	0.43	0.87	1.73
    8 	1.77	2.11	1.95	1.50	1.15	1.60	0.41	2.03	1.57	1.31
    9 	0.96	1.40	1.36	1.98	1.26	0.48	0.98	0.54	1.99	1.86
    10	1.23	0.44	0.11	0.30	0.98	1.49	0.50	1.51	1.90	1.67
    11	0.94	1.42	2.17	1.95	0.75	1.51	0.37	1.23	0.79	0.97
    12	0.97	1.46	1.86	1.04	0.33	1.66	1.66	2.10	0.87	1.03
    13	1.19	1.96	1.55	0.06	0.46	1.88	1.29	1.92	0.91	0.47
    14	0.02	2.19	0.31	1.42	1.08	0.84	1.19	0.18	2.13	1.09
    15	0.04	0.93	1.67	0.69	1.64	1.69	0.53	2.13	0.07	1.90
    16	1.13	0.35	0.58	1.31	0.62	1.85	0.49	0.85	1.12	0.75
    17	1.81	0.59	0.20	0.35	1.38	1.24	0.15	2.18	1.06	0.71
    18	1.61	0.06	0.96	1.47	2.12	1.68	1.95	0.27	0.95	0.08
    19	0.61	0.85	0.76	0.83	1.77	0.43	1.82	1.20	0.75	1.22
    20	0.36	1.10	0.06	1.90	0.74	0.76	2.19	1.35	0.92	1.74
    21	0.16	1.26	1.15	1.90	1.29	1.07	1.15	1.72	0.77	1.23
    22	1.56	2.19	1.53	2.12	0.88	1.34	1.64	0.77	0.60	2.14
    23	0.77	2.20	1.88	0.48	1.82	2.16	0.62	1.47	1.70	0.19
    24	1.80	0.69	1.56	2.09	0.09	1.35	0.65	0.26	1.57	2.15
    25	1.13	0.77	0.99	0.92	1.17	0.91	0.19	2.15	2.19	0.39
    26	0.54	0.97	1.54	0.08	1.84	1.41	0.60	1.92	1.46	0.70
    27	1.21	2.15	0.12	1.56	1.87	1.53	0.32	1.32	1.73	0.93
    28	1.29	0.57	0.69	1.78	1.08	0.99	0.28	0.83	1.15	0.52
    29	1.78	0.85	0.53	0.69	1.82	1.99	2.11	0.04	1.66	1.16
    30	0.28	0.55	0.63	0.90	1.04	2.06	0.14	1.56	1.88	0.79
    31	0.56	0.49	0.67	0.33	1.22	0.56	0.07	0.52	1.81	0.92
    32	1.94	2.08	0.54	1.24	1.94	1.28	0.38	0.55	2.17	0.67
    33	1.91	1.75	1.63	1.59	1.74	1.87	0.15	0.38	1.12	0.48
    34	1.18	1.09	0.29	0.20	0.04	1.82	0.19	2.12	2.16	1.64
    35	1.00	0.61	0.91	0.77	0.88	1.60	1.96	0.36	0.54	0.47
    36	0.11	1.88	1.13	0.16	0.99	1.00	1.71	1.68	0.30	1.38
    37	1.13	0.04	0.33	1.47	0.81	2.12	1.11	1.52	0.30	1.06
    38	1.62	1.84	0.45	0.88	1.05	0.97	1.05	0.66	1.78	2.01
    39	0.77	1.41	0.84	1.28	1.53	1.11	1.49	1.67	1.86	0.42
    40	0.48	1.14	1.13	1.78	1.14	1.98	1.71	1.12	1.82	1.05
    41	0.76	0.96	1.01	1.43	0.12	1.61	2.13	1.01	0.16	0.45
    42	0.24	0.57	1.75	0.01	1.92	2.07	0.42	0.39	2.13	0.80
    43	1.79	0.03	2.18	0.05	1.34	2.04	1.83	0.69	1.81	0.87
    44	1.10	0.81	0.79	1.28	1.72	1.54	1.69	0.04	1.17	0.78
    45	0.47	2.03	0.44	0.41	0.40	1.45	1.35	1.12	1.30	2.07
    46	1.90	1.99	0.13	1.98	0.08	1.43	2.05	1.11	0.93	0.74
    47	2.02	2.04	1.37	1.57	0.75	0.31	2.15	1.45	0.61	2.15
    48	1.34	0.73	1.97	0.18	1.77	0.36	0.25	0.58	1.58	1.34
    49	0.93	0.36	2.03	1.69	1.51	1.79	1.71	0.26	1.70	1.85
    50	1.65	1.07	1.51	0.23	1.68	0.58	1.73	1.40	1.12	1.18
    51	0.17	0.10	0.04	1.71	0.31	0.28	0.85	2.15	1.95	0.70
    52	1.81	0.20	0.87	1.28	2.17	0.12	0.91	2.02	0.07	1.32;
    


    
    



